Word,Word Count,Doc Count,Average Proportion
fluctuations,2806117,655076,0.0001079590374347
hidden,25001,10844,1.065082374878379e-06
hinges,3798,2553,1.1393021468037758e-07
imprecise,31155,21913,1.1415633055326651e-06
imprecision,19155,13248,6.344472093443188e-07
imprecisions,285,195,8.175623762943864e-09
improbability,147,116,6.8340261802826085e-09
improbable,27895,23699,9.284510533858694e-07
incompleteness,2720,1995,4.0914664194468195e-08
indefinite,761153,235892,2.526404335957005e-05
indefinitely,242365,131006,6.469593146611032e-06
indefiniteness,1118,707,2.9770928025393425e-08
indeterminable,18953,12850,7.03912124936306e-07
indeterminate,54354,36100,1.6855301417021289e-06
inexact,3340,3000,1.1867670866318313e-07
inexactness,32,30,8.118829689756821e-10
instabilities,4512,3404,1.7742599632002686e-07
instability,261102,151114,7.637366915924855e-06
intangible,6289063,634101,0.0002331816808196
intangibles,1440266,371159,5.687015178167369e-05
likelihood,785610,377579,2.862258968702834e-05
may,83115231,1180844,0.0022007261321014
maybe,13438,10478,5.013574843928467e-07
might,2439057,644346,8.741619390367257e-05
nearly,353195,194712,1.2492521952974457e-05
nonassessable,101999,41716,2.0339919000580063e-06
occasionally,121785,90248,4.456881312423007e-06
ordinarily,74422,51867,2.012146343283708e-06
pending,3124842,712028,0.0001127813950798
perhaps,64505,49680,2.1991789711858777e-06
possibilities,29038,24018,1.60300836425599e-06
possibility,644815,334998,2.3842993338368652e-05
possible,4047901,818771,0.000153678984144
possibly,287019,177937,9.90565930199235e-06
precaution,5062,3862,1.5605791239169393e-07
precautionary,26577,17535,6.324271833412545e-07
precautions,90850,60281,1.9724164698313966e-06
predict,1881562,574479,6.603389913144026e-05
predictability,27761,21871,8.337733762900614e-07
predicted,338451,209621,1.3837776178462763e-05
predicting,49784,39720,1.7977041755832035e-06
prediction,44284,34992,1.861669917185822e-06
predictions,166225,134529,9.37369980115982e-06
predictive,104721,54930,3.026292485810305e-06
predictor,8693,5643,3.435887479173741e-07
predictors,3406,3092,8.836018188686e-08
predicts,81370,76045,4.224777866669435e-06
preliminarily,50235,31727,1.969866547791649e-06
preliminary,959273,313917,3.410025720853593e-05
presumably,5152,4264,1.927010463159002e-07
presume,17126,12847,3.540744260089167e-07
presumed,126553,73338,2.8697066056539805e-06
presumes,8113,6932,5.531935043718286e-07
presuming,3995,3141,1.3393391680714397e-07
presumption,118910,65579,2.7236913459641917e-06
presumptions,17750,9846,2.8448744615492574e-07
probabilistic,20309,9383,4.904346802253298e-07
probabilities,40712,24686,1.0461601214718608e-06
probability,467304,208806,1.3667281920673338e-05
probable,1584034,452897,5.281106724583791e-05
probably,41804,33154,2.2336426238093203e-06
random,35666,20365,1.1339739691417395e-06
randomize,749,560,1.6982745415761224e-08
randomized,88432,22786,2.0320291906371246e-06
randomizes,40,35,7.086566558137718e-10
randomizing,297,223,6.426872901444399e-09
randomly,7752,5776,2.261206159952368e-07
randomness,151,136,4.877737308791237e-09
reassess,68951,49002,2.5135668723823626e-06
reassessed,47075,32753,1.5940362669416094e-06
reassesses,14769,12416,5.045634042848888e-07
reassessing,6753,5115,2.4241147802903457e-07
reassessment,56895,31638,1.8662974191297687e-06
reassessments,18417,12615,5.730617745771859e-07
recalculate,16215,9389,3.772619172537184e-07
recalculated,40208,22817,1.0937761784402047e-06
recalculates,1312,1012,3.1151016766079624e-08
recalculating,3354,2532,1.0095816937178645e-07
recalculation,23831,14193,5.21463141555519e-07
recalculations,3839,2368,6.596764620301954e-08
reconsider,42742,28986,1.2203804292262917e-06
reconsidered,7151,5146,2.440599749524846e-07
reconsidering,3005,2370,8.91545763815972e-08
reconsiders,2289,1859,6.488974313326273e-08
reexamination,53032,19761,1.3987588221861609e-06
reexamine,4659,3520,1.3756297092978465e-07
reexamining,3341,2771,6.210162952969298e-08
reinterpret,1025,879,2.2625641919244377e-08
reinterpretation,4297,3251,9.796301907443755e-08
reinterpretations,2834,2477,4.581546421899544e-08
reinterpreted,12360,10870,2.320243592517571e-07
reinterpreting,134,124,5.760662143942608e-09
reinterprets,53,49,8.695001272776962e-10
revise,475232,337057,2.138863642485056e-05
revised,1826199,588117,6.703454147065913e-05
risk,21490649,1045191,0.0007777135202792
risked,5281,3699,2.390946576196819e-07
riskier,17014,10504,3.397612900711405e-07
riskiest,1658,1581,4.250428976061557e-08
riskiness,1791,1399,5.5269327854805684e-08
risking,4724,3447,1.024477363216541e-07
risks,9531262,1014802,0.0003619079588897
risky,63385,48515,2.9928453536198626e-06
roughly,37707,26169,1.527228734068675e-06
rumors,16745,14025,3.7231633118327603e-07
seems,1589,1168,1.0304761827364978e-07
seldom,4024,3465,1.2898428620297818e-07
seldomly,26,26,6.422686229904971e-10
sometime,23221,17587,1.2007273220173729e-06
sometimes,337085,190409,9.66047524097504e-06
somewhat,148486,95031,8.281987347370366e-06
somewhere,1918,1594,8.356632307411037e-08
speculate,9398,7869,4.391841142982141e-07
speculated,968,840,3.103170217207011e-08
speculates,96,82,4.771802466522132e-09
speculating,2921,2162,7.976890358385008e-08
speculation,52021,37035,1.6983882073641465e-06
speculations,314,276,1.0032504774201617e-08
speculative,390284,208501,1.549304366225264e-05
speculatively,1517,788,5.274821831054248e-08
sporadic,27322,20272,1.3801749551856618e-06
sporadically,5881,4906,2.724513564017644e-07
sudden,81164,57935,2.6894343446509936e-06
suddenly,11533,9847,3.399030754792726e-07
suggest,94388,67216,3.1048714033696e-06
suggested,165107,133088,1.5459250634884848e-05
suggesting,25699,19209,7.761051730571053e-07
suggests,56390,43831,2.131296626031836e-06
susceptibility,18150,13652,5.941885938116196e-07
tending,7071,4877,2.380103910258785e-07
tentative,50931,23309,2.088465492369057e-06
tentatively,16790,11188,7.444268612769805e-07
turbulence,7951,6447,2.386416997692462e-07
uncertain,1786828,515946,5.864698998260439e-05
uncertainly,1816,1631,1.0265176065177899e-07
uncertainties,3466750,958684,0.0001833001226673
uncertainty,1882211,609704,7.545112580512224e-05
unclear,123510,72609,2.9132196355540287e-06
unconfirmed,3352,2138,1.0453187720505229e-07
undecided,766,600,3.447985102139929e-08
undefined,8321,5640,2.485149326035169e-07
undesignated,73261,40110,2.348206213635522e-06
undetectable,2546,1661,7.599949813593788e-08
undeterminable,7284,5727,5.217468197306767e-07
undetermined,19721,13990,8.898517606817863e-07
undocumented,2848,1893,8.472741183526337e-08
unexpected,399286,211837,1.2415781495706952e-05
unexpectedly,31442,26060,9.279069093197932e-07
unfamiliar,14288,10680,3.138804157596654e-07
unfamiliarity,3670,3312,8.378782751528855e-08
unforecasted,805,609,1.91860053882243e-08
unforseen,1334,1144,1.2368191421596022e-07
unguaranteed,31226,9613,1.3396832463521178e-06
unhedged,34924,18574,9.04197552274248e-07
unidentifiable,5252,3288,2.9198537446596734e-07
unidentified,35223,27758,2.3579628472648013e-06
unknown,878427,363984,2.7266427429430963e-05
unknowns,1737,1415,5.9282683108330746e-08
unobservable,1104920,308128,3.7612045852905184e-05
unplanned,66082,38269,1.7073559914729498e-06
unpredictability,43821,34098,1.3535512631640724e-06
unpredictable,258657,146346,7.410413630690333e-06
unpredictably,4649,3907,1.3790696569938488e-07
unpredicted,1074,838,3.1391836427058065e-08
unproved,145884,25826,6.196887549397328e-06
unproven,56518,36628,2.313363227222464e-06
unquantifiable,2170,1879,6.204062936724536e-08
unquantified,3363,1791,1.1852302954632285e-07
unreconciled,1094,624,3.36370481232231e-08
unseasonable,6043,3827,2.345297979245472e-07
unseasonably,10240,6750,4.699612647297467e-07
unsettled,78560,42885,2.58765484088373e-06
unspecific,542,346,1.7851227650659573e-08
unspecified,259473,113190,1.083113339163098e-05
untested,12501,10421,4.849063742903761e-07
unusual,334607,167937,1.4009472406112002e-05
unusually,54997,38833,2.67513283391248e-06
unwritten,22146,14410,5.435724698245717e-07
vagaries,1595,1345,7.16939687904463e-08
vague,6926,5278,1.784343317100911e-07
vaguely,869,705,2.3307058978650313e-08
vagueness,637,399,1.6950462366738182e-08
vaguenesses,0,0,0.0
vaguer,0,0,0.0
vaguest,0,0,0.0
variability,319266,160906,9.795753771957708e-06
variable,3771896,594571,0.0001303423614102
variables,219201,124974,7.286276541926121e-06
variably,1847,1271,6.114587203039966e-08
variance,389683,101636,1.244523508388415e-05
variances,189744,99634,7.083496608850438e-06
variant,25373,12302,6.579486275192151e-07
variants,67241,28876,1.7217448880244892e-06
variation,204987,93876,5.990292773672862e-06
variations,510748,313031,2.193875665075724e-05
varied,147261,104376,5.084643500454899e-06
varies,337375,204875,1.1352180861229827e-05
vary,1523823,551606,5.4121219756562894e-05
varying,554455,297096,1.8297796863678373e-05
volatile,604597,264057,1.9430514620519577e-05
volatilities,99018,63081,2.8612067566672445e-06
volatility,2888579,623971,9.534921467213926e-05
